RefPeriodId,ExchangeRate,ChangeInExchangeRate
20100101,13.096,0.0
20100201,12.943,-1.168
20100301,12.742,-1.553
20100401,12.3,-3.469
20100501,12.301,0.008
20100601,12.924,5.065
20100701,13.044,0.929
20100801,12.644,-3.067
20100901,13.042,3.148
20101001,12.545,-3.811
20101101,12.346,-1.586
20101201,12.37,0.194
20110101,12.361,-0.073
20110201,12.002,-2.904
20110301,12.088,0.717
20110401,11.832,-2.118
20110501,11.484,-2.941
20110601,11.635,1.315
20110701,11.626,-0.077
20110801,11.752,1.084
20110901,12.255,4.28
20111001,13.856,13.064
20111101,13.67,-1.342
20111201,13.597,-0.534
20120101,13.948,2.581
20120201,12.859,-7.808
20120301,12.766,-0.723
20120401,12.806,0.313
20120501,12.889,0.648
20120601,14.375,11.529
20120701,13.328,-7.283
20120801,13.273,-0.413
20120901,13.191,-0.618
20121001,12.815,-2.85
20121101,13.038,1.74
20121201,12.962,-0.583
20130101,12.852,-0.849
20130201,12.636,-1.681
20130301,12.804,1.33
20130401,12.341,-3.616
20130501,12.225,-0.94
20130601,12.809,4.777
20130701,12.902,0.726
20130801,12.827,-0.581
20130901,13.379,4.303
20131001,13.18,-1.487
20131101,13.084,-0.728
20131201,13.109,0.191
20140101,13.038,-0.542
20140201,13.348,2.378
20140301,13.249,-0.742
20140401,13.028,-1.668
20140501,13.053,0.192
20140601,12.857,-1.502
20140701,12.946,0.692
20140801,13.209,2.032
20140901,13.088,-0.916
20141001,13.463,2.865
20141101,13.478,0.111
20141201,13.936,3.398
20150101,14.741,5.776
20150201,14.976,1.594
20150301,14.948,-0.187
20150401,15.115,1.117
20150501,15.564,2.971
20150601,15.471,-0.598
20150701,15.778,1.984
20150801,16.11,2.104
20150901,16.873,4.736
20151001,16.871,-0.012
20151101,16.5,-2.199
20151201,16.53,0.182
20160101,17.204,4.077
20160201,18.306,6.405
20160301,17.9,-2.218
20160401,17.351,-3.067
20160501,17.176,-1.009
20160601,18.548,7.988
20160701,18.387,-0.868
20160801,18.84,2.464
20160901,18.83,-0.053
20161001,19.382,2.931
20161101,19.103,-1.439
20161201,20.744,8.59
20170101,20.733,-0.053
20170201,20.824,0.439
20170301,19.879,-4.538
20170401,18.719,-5.835
20170501,18.764,0.24
20170601,18.574,-1.013
20170701,18.134,-2.369
20170801,17.813,-1.77
20170901,17.785,-0.157
20171001,18.26,2.671
20171101,19.142,4.83
20171201,18.624,-2.706
20180101,19.663,5.579
20180201,18.368,-6.586
20180301,18.808,2.395
20180401,18.227,-3.089
20180501,18.834,3.33
20180601,19.866,5.479
20180701,19.924,0.292
20180801,18.618,-6.555
20180901,19.145,2.831
20181001,18.662,-2.523
20181101,20.136,7.898
20181201,20.462,1.619
20190101,19.634,-4.047
20190201,19.127,-2.582
20190301,19.309,0.952
20190401,19.218,-0.471
20190501,18.86,-1.863
20190601,19.621,4.035
20190701,19.078,-2.767
20190801,19.174,0.503
20190901,20.061,4.626
20191001,19.779,-1.406
20191101,19.106,-3.403
20191201,19.568,2.418
20200101,18.938,-3.22
20200201,18.86,-0.412
20200301,19.62,4.03
20200401,24.473,24.735
20200501,24.853,1.553
20200601,21.997,-11.492
20200701,22.832,3.796
20200801,22.282,-2.409
20200901,21.758,-2.352
20201001,21.985,1.043
20201101,21.182,-3.652
20201201,20.05,-5.344
20210101,19.893,-0.783
20210201,20.342,2.257
20210301,20.612,1.327
20210401,20.338,-1.329
20210501,20.239,-0.487
20210601,19.957,-1.393
20210701,20.001,0.22
20210801,19.875,-0.63
20210901,20.013,0.694
20211001,20.451,2.189
20211101,20.9,2.195
20211201,21.427,2.522
20220101,20.498,-4.336
20220201,20.547,0.239
20220301,20.653,0.516
20220401,19.86,-3.84
20220501,20.45,2.971
20220601,19.713,-3.604
20220701,20.263,2.79
20220801,20.467,1.007
20220901,20.191,-1.349
20221001,20.137,-0.267
20221101,19.713,-2.106
20221201,19.151,-2.851
