RefPeriodId,ExportValue,ImportValue,ChangeInExport,ChangeInImport,ExchangeRate,ChangeInExchangeRate,ArticlesWritten
2010-01-01,11497396422,16295806481,0.0,0.0,13.096,0.0,7
2010-02-01,11628624803,16583462780,1.141,1.765,12.943,-1.168,11
2010-03-01,14062193078,20325785174,20.927,22.567,12.742,-1.553,18
2010-04-01,13138844428,18657484024,-6.566,-8.208,12.3,-3.469,9
2010-05-01,13190927187,19541847076,0.396,4.74,12.301,0.008,21
2010-06-01,13746217975,20159823700,4.21,3.162,12.924,5.065,59
2010-07-01,13108538464,18628210140,-4.639,-7.597,13.044,0.929,21
2010-08-01,14227708057,20457136590,8.538,9.818,12.644,-3.067,18
2010-09-01,14008040396,19956033546,-1.544,-2.45,13.042,3.148,24
2010-10-01,15352822331,21288257038,9.6,6.676,12.545,-3.811,24
2010-11-01,14839628432,20634488864,-3.343,-3.071,12.346,-1.586,17
2010-12-01,14519748455,19391403113,-2.156,-6.024,12.37,0.194,23
2011-01-01,14839788929,19938512099,2.204,2.821,12.361,-0.073,16
2011-02-01,13844624147,19297149588,-6.706,-3.217,12.002,-2.904,18
2011-03-01,17149785142,23549585063,23.873,22.037,12.088,0.717,22
2011-04-01,15892258328,21519685755,-7.333,-8.62,11.832,-2.118,11
2011-05-01,16644225876,23121189465,4.732,7.442,11.484,-2.941,14
2011-06-01,16469964760,23057595165,-1.047,-0.275,11.635,1.315,14
2011-07-01,16091105826,21152379910,-2.3,-8.263,11.626,-0.077,17
2011-08-01,17815414728,23442491244,10.716,10.827,11.752,1.084,21
2011-09-01,17161123839,22371507868,-3.673,-4.569,12.255,4.28,24
2011-10-01,17648196462,23082634263,2.838,3.179,13.856,13.064,27
2011-11-01,17675065538,23375773728,0.152,1.27,13.67,-1.342,15
2011-12-01,16312073182,21438672190,-7.711,-8.287,13.597,-0.534,17
2012-01-01,17254672591,21685137898,5.779,1.15,13.948,2.581,21
2012-02-01,16893152740,22906456506,-2.095,5.632,12.859,-7.808,15
2012-03-01,18954853296,25314195777,12.204,10.511,12.766,-0.723,16
2012-04-01,17292994267,22941065918,-8.767,-9.375,12.806,0.313,23
2012-05-01,18528833033,25097721061,7.146,9.401,12.889,0.648,20
2012-06-01,17548927822,23687472505,-5.289,-5.619,14.375,11.529,29
2012-07-01,17550880223,22722888065,0.011,-4.072,13.328,-7.283,20
2012-08-01,19168792707,23878171098,9.218,5.084,13.273,-0.413,19
2012-09-01,17450634925,22391351175,-8.963,-6.227,13.191,-0.618,18
2012-10-01,20458184395,25017658380,17.235,11.729,12.815,-2.85,24
2012-11-01,18828353516,23889201621,-7.967,-4.511,13.038,1.74,21
2012-12-01,16400557048,20485885617,-12.894,-14.246,12.962,-0.583,19
2013-01-01,17949452670,21758597831,9.444,6.213,12.852,-0.849,26
2013-02-01,17659773456,22122967818,-1.614,1.675,12.636,-1.681,27
2013-03-01,17980328071,23460658586,1.815,6.047,12.804,1.33,13
2013-04-01,19901229771,24564092633,10.683,4.703,12.341,-3.616,15
2013-05-01,19240495336,24803194904,-3.32,0.973,12.225,-0.94,20
2013-06-01,18007009490,23014863673,-6.411,-7.21,12.809,4.777,22
2013-07-01,19561779707,23895643051,8.634,3.827,12.902,0.726,15
2013-08-01,19154519443,24215978363,-2.082,1.341,12.827,-0.581,11
2013-09-01,17997375467,23467064504,-6.041,-3.093,13.379,4.303,17
2013-10-01,21153924630,25480487743,17.539,8.58,13.18,-1.487,25
2013-11-01,19588424858,23926709338,-7.401,-6.098,13.084,-0.728,12
2013-12-01,17958582933,22333214599,-8.32,-6.66,13.109,0.191,13
2014-01-01,19146910022,22144809304,6.617,-0.844,13.038,-0.542,22
2014-02-01,18348160764,22567347135,-4.172,1.908,13.348,2.378,16
2014-03-01,19896942128,25200755766,8.441,11.669,13.249,-0.742,9
2014-04-01,19888275925,24718616470,-0.044,-1.913,13.028,-1.668,14
2014-05-01,20976094555,25566859156,5.47,3.432,13.053,0.192,20
2014-06-01,20075872869,25232500107,-4.292,-1.308,12.857,-1.502,23
2014-07-01,20765455033,25338109651,3.435,0.419,12.946,0.692,12
2014-08-01,20336842789,24980275412,-2.064,-1.412,13.209,2.032,9
2014-09-01,20023099227,25062841691,-1.543,0.331,13.088,-0.916,28
2014-10-01,22256685342,27649275703,11.155,10.32,13.463,2.865,18
2014-11-01,19721124552,24391395840,-11.392,-11.783,13.478,0.111,18
2014-12-01,18889145315,24085327211,-4.219,-1.255,13.936,3.398,21
2015-01-01,19143530216,22293796810,1.347,-7.438,14.741,5.776,17
2015-02-01,18127049230,22701596628,-5.31,1.829,14.976,1.594,9
2015-03-01,19869581910,25629685881,9.613,12.898,14.948,-0.187,11
2015-04-01,20055149214,24699804629,0.934,-3.628,15.115,1.117,18
2015-05-01,19632338631,24431074187,-2.108,-1.088,15.564,2.971,32
2015-06-01,20484032746,26825648992,4.338,9.801,15.471,-0.598,35
2015-07-01,21064877566,24679372939,2.836,-8.001,15.778,1.984,25
2015-08-01,19611659415,25092106285,-6.899,1.672,16.11,2.104,24
2015-09-01,19594763003,25562189015,-0.086,1.873,16.873,4.736,19
2015-10-01,21276769213,27856631285,8.584,8.976,16.871,-0.012,29
2015-11-01,18936764095,24333883624,-10.998,-12.646,16.5,-2.199,28
2015-12-01,18580805113,23393758958,-1.88,-3.863,16.53,0.182,12
2016-01-01,18045456600,22575954779,-2.881,-3.496,17.204,4.077,26
2016-02-01,18130906896,23355239683,0.474,3.452,18.306,6.405,24
2016-03-01,19294539503,24935951783,6.418,6.768,17.9,-2.218,54
2016-04-01,19362162670,25229100727,0.35,1.176,17.351,-3.067,21
2016-05-01,18991474630,24997685239,-1.914,-0.917,17.176,-1.009,36
2016-06-01,19456251329,25032201824,2.447,0.138,18.548,7.988,44
2016-07-01,18347425388,23143063846,-5.699,-7.547,18.387,-0.868,50
2016-08-01,20033911349,25763199888,9.192,11.321,18.84,2.464,24
2016-09-01,19719942704,25329232364,-1.567,-1.684,18.83,-0.053,51
2016-10-01,20209212737,26576733797,2.481,4.925,19.382,2.931,32
2016-11-01,19566973130,25582372285,-3.178,-3.741,19.103,-1.439,85
2016-12-01,19070562716,23679207520,-2.537,-7.439,20.744,8.59,41
2017-01-01,19631536299,23700734758,2.942,0.091,20.733,-0.053,107
2017-02-01,18205784333,24147377774,-7.263,1.885,20.824,0.439,62
2017-03-01,21032120976,28314729368,15.524,17.258,19.879,-4.538,53
2017-04-01,18919084744,25413818673,-10.047,-10.245,18.719,-5.835,56
2017-05-01,19885966166,27469118411,5.111,8.087,18.764,0.24,37
2017-06-01,21388525893,27580503669,7.556,0.405,18.574,-1.013,24
2017-07-01,19841389630,24892074649,-7.233,-9.748,18.134,-2.369,28
2017-08-01,20866374353,27304768035,5.166,9.693,17.813,-1.77,43
2017-09-01,20147470726,26115521971,-3.445,-4.355,17.785,-0.157,49
2017-10-01,22094117785,28987814142,9.662,10.998,18.26,2.671,54
2017-11-01,21678847679,27907746984,-1.88,-3.726,19.142,4.83,30
2017-12-01,19623164609,25372971724,-9.482,-9.083,18.624,-2.706,39
2018-01-01,21419262872,26193856439,9.153,3.235,19.663,5.579,55
2018-02-01,20369005141,26183042191,-4.903,-0.041,18.368,-6.586,32
2018-03-01,21969521733,30242776459,7.858,15.505,18.808,2.395,106
2018-04-01,22504995954,28448075038,2.437,-5.934,18.227,-3.089,69
2018-05-01,23005408018,29704221701,2.224,4.416,18.834,3.33,65
2018-06-01,22202729415,29816511296,-3.489,0.378,19.866,5.479,123
2018-07-01,22847371786,28445510479,2.903,-4.598,19.924,0.292,71
2018-08-01,22490518350,31346632839,-1.562,10.199,18.618,-6.555,65
2018-09-01,21542617126,29408830947,-4.215,-6.182,19.145,2.831,65
2018-10-01,24646848090,32130011803,14.41,9.253,18.662,-2.523,103
2018-11-01,22958598871,29911772180,-6.85,-6.904,20.136,7.898,78
2018-12-01,19477905169,27364003744,-15.161,-8.518,20.462,1.619,91
2019-01-01,21913674829,27946186982,12.505,2.128,19.634,-4.047,53
2019-02-01,20209248667,27871992442,-7.778,-0.265,19.127,-2.582,55
2019-03-01,21830029323,31626318886,8.02,13.47,19.309,0.952,40
2019-04-01,22214851012,30657677059,1.763,-3.063,19.218,-0.471,55
2019-05-01,22448997846,32377526250,1.054,5.61,18.86,-1.863,81
2019-06-01,20655031455,30763685177,-7.991,-4.984,19.621,4.035,103
2019-07-01,22121797089,30344468218,7.101,-1.363,19.078,-2.767,46
2019-08-01,22073672685,31273580583,-0.218,3.062,19.174,0.503,36
2019-09-01,20633926556,29768716150,-6.522,-4.812,20.061,4.626,40
2019-10-01,22295928445,31333077214,8.055,5.255,19.779,-1.406,32
2019-11-01,20906407391,29465600251,-6.232,-5.96,19.106,-3.403,34
2019-12-01,19067521199,27892108212,-8.796,-5.34,19.568,2.418,60
2020-01-01,20833957402,28644561733,9.264,2.698,18.938,-3.22,59
2020-02-01,19397470423,29352414453,-6.895,2.471,18.86,-0.412,41
2020-03-01,20048068514,30420589371,3.354,3.639,19.62,4.03,34
2020-04-01,12527542645,16042148641,-37.512,-47.265,24.473,24.735,38
2020-05-01,10440323370,15147055713,-16.661,-5.58,24.853,1.553,40
2020-06-01,15787255885,26082545740,51.214,72.195,21.997,-11.492,40
2020-07-01,18448794043,29377539032,16.859,12.633,22.832,3.796,40
2020-08-01,17047019040,30113197483,-7.598,2.504,22.282,-2.409,44
2020-09-01,18703114281,30138158680,9.715,0.083,21.758,-2.352,25
2020-10-01,20508218453,33481092456,9.651,11.092,21.985,1.043,37
2020-11-01,19301947369,30172227207,-5.882,-9.883,21.182,-3.652,33
2020-12-01,19628039477,29890273020,1.689,-0.934,20.05,-5.344,58
2021-01-01,19483038843,29366394260,-0.739,-1.753,19.893,-0.783,20
2021-02-01,21046173100,27712810354,8.023,-5.631,20.342,2.257,20
2021-03-01,23508517080,33717588399,11.7,21.668,20.612,1.327,53
2021-04-01,22558428822,32493958581,-4.041,-3.629,20.338,-1.329,24
2021-05-01,22799783359,31668294052,1.07,-2.541,20.239,-0.487,18
2021-06-01,24133503292,33321252659,5.85,5.22,19.957,-1.393,20
2021-07-01,23660983164,32188212170,-1.958,-3.4,20.001,0.22,19
2021-08-01,24181039574,32378020413,2.198,0.59,19.875,-0.63,23
2021-09-01,22784097686,32346107900,-5.777,-0.099,20.013,0.694,22
2021-10-01,24472960835,34665887095,7.412,7.172,20.451,2.189,26
2021-11-01,24089242743,34937770852,-1.568,0.784,20.9,2.195,34
2021-12-01,23741083555,33561225320,-1.445,-3.94,21.427,2.522,20
