RefPeriodId,ExportValue,ImportValue
20100101,6888747167,26284323659
20100201,6855060363,24403483460
20100301,7403630412,25451881798
20100401,6591169566,27157750225
20100501,6752747001,30480282334
20100601,6715022634,34542333441
20100701,7344675474,35012019118
20100801,7253465181,37177609400
20100901,7168224774,36845502434
20101001,9303344432,36615144257
20101101,9481351445,36759276507
20101201,10120721701,32224242251
20110101,8078084195,32844276950
20110201,8437170096,28563966112
20110301,9518843411,28857011445
20110401,7971015998,31009252870
20110501,7817771089,34328068069
20110601,7729751089,35963602769
20110701,8170854919,36688917408
20110801,8408135137,39041486544
20110901,8367094477,38045503121
20111001,9736489010,39417354557
20111101,9936647718,38328544431
20111201,9706556984,34214874764
20120101,8371954459,35868350623
20120201,8760742302,29317451788
20120301,9829743650,32840345205
20120401,8456512799,34526498784
20120501,8898572261,36560925933
20120601,8518650548,37532057365
20120701,8554091834,39607148397
20120801,8609171778,38951337292
20120901,8790939642,39578324697
20121001,10823281596,42057345923
20121101,10594388987,41205610727
20121201,10382008551,36361753350
20130101,9384567818,38813154291
20130201,9302547799,34248330379
20130301,9435418523,28542140038
20130401,8991933916,34658833114
20130501,8786492216,38329554809
20130601,9181479407,37454244338
20130701,8735186383,40593165559
20130801,9280903275,40949980716
20130901,9595943827,41852560999
20131001,13059990328,43734515447
20131101,13178882507,41752913268
20131201,13082898728,39078244856
20140101,10356973209,39803216413
20140201,9878873230,32054645039
20140301,10830211961,32542489988
20140401,9025327016,37835925847
20140501,9222111785,39635506905
20140601,9352883844,41067501947
20140701,9288238352,41855349495
20140801,9631204312,41543399475
20140901,9327452087,46754645377
20141001,12689711389,47146548558
20141101,12189511317,43777033405
20141201,12231406934,42179792328
20150101,9551998828,39803557658
20150201,8699839856,32671572550
20150301,9887217525,43001622306
20150401,9316821313,37424866301
20150501,8758793486,41000814298
20150601,9687755563,42937788178
20150701,9500662680,42882348063
20150801,9166684407,46010171335
20150901,9423663892,47594357713
20151001,11384346365,46135507219
20151101,10681010548,43598767358
20151201,10127407102,39571105451
20160101,8208875002,38704371880
20160201,8080515063,37652297459
20160301,8925561211,31011345717
20160401,8679668476,34342018520
20160501,8541963035,39093843904
20160601,8845557796,40075066824
20160701,9129663496,41005369922
20160801,9372919258,44954721011
20160901,9521151936,43673331449
20161001,12600004710,45552397128
20161101,12044084823,44277267588
20161201,11644805511,40968416596
20170101,9961097157,43077554081
20170201,9735769625,34215849613
20170301,9719166951,35597579985
20170401,9805657653,39017298064
20170501,9862177185,43547181780
20170601,9717402236,44038322586
20170701,9979055362,45372230871
20170801,10828336084,47679593980
20170901,10911666853,47289765803
20171001,12963414465,50086689985
20171101,12765021147,49929157385
20171201,13644750168,46171083837
20180101,9902562594,47590600120
20180201,9759866555,40662733317
20180301,12652141220,39868857481
20180401,10503804047,39907645638
20180501,10428173104,45971528757
20180601,10860060725,46592125286
20180701,10134629152,49137910877
20180801,9285848581,49923125875
20180901,9729850046,52180248060
20181001,9139825342,54578036799
20181101,8606232286,48615425280
20181201,9144872071,48174882050
20190101,7134335725,43544185599
20190201,8433505586,34731013048
20190301,10426534236,32573204847
20190401,7896343239,36371912425
20190501,9074473051,41020739754
20190601,9034701871,40709722303
20190701,8733722540,43365457838
20190801,9430622662,43023746044
20190901,8597674348,42005097508
20191001,8886400287,41889083881
20191101,10103214602,38033396014
20191201,8875116929,35197354483
20200101,7215277367,34882851376
20200201,6815003227,23935874080
20200301,7971886841,20703079757
20200401,8604695406,32598814652
20200501,9641702167,38390679110
20200601,9242237839,39389734446
20200701,9037041472,42601133577
20200801,11036065342,42877734646
20200901,11536750031,43328893641
20201001,14723004934,47129520737
20201101,14179314111,47164690487
20201201,14645528896,44161209000
20210101,12860944494,41306811907
20210201,9410461096,36028344343
20210301,12542256454,42624054026
20210401,11759916178,39868175908
20210501,12411324120,41137313292
20210601,12102037389,42648054547
20210701,11719957383,43281796905
20210801,11258642406,46394792455
20210901,10910600180,51060021718
20211001,16635341351,51833170776
20211101,16068979066,52137438584
20211201,13384717277,53211377781
20220101,11475205432,51584018551
20220201,11593988132,45641233189
20220301,13375086886,51018222406
20220401,11201677821,45225798352
20220501,12321316735,47349870909
20220601,11678394417,52271223140
20220701,12267235538,50287335394
20220801,12906699996,54063192493
20220901,11953490780,52463037280
20221001,15698326452,47372827888
20221101,15576005996,39115221655
20221201,13789594230,39296109915
