RefPeriodId,ExportValue,ImportValue,ChangeInExport,ChangeInImport,ExchangeRate,ChangeInExchangeRate,ArticlesWritten
2010-01-01,6888747167,26284323659,0.0,0.0,6.828,0.0,65
2010-02-01,6855060363,24403483460,-0.489,-7.156,6.827,-0.015,53
2010-03-01,7403630412,25451881798,8.002,4.296,6.831,0.059,43
2010-04-01,6591169566,27157750225,-10.974,6.702,6.827,-0.059,41
2010-05-01,6752747001,30480282334,2.451,12.234,6.825,-0.029,55
2010-06-01,6715022634,34542333441,-0.559,13.327,6.832,0.103,62
2010-07-01,7344675474,35012019118,9.377,1.36,6.782,-0.732,44
2010-08-01,7253465181,37177609400,-1.242,6.185,6.774,-0.118,45
2010-09-01,7168224774,36845502434,-1.175,-0.893,6.815,0.605,74
2010-10-01,9303344432,36615144257,29.786,-0.625,6.694,-1.775,76
2010-11-01,9481351445,36759276507,1.913,0.394,6.694,0.0,96
2010-12-01,10120721701,32224242251,6.743,-12.337,6.668,-0.388,57
2011-01-01,8078084195,32844276950,-20.183,1.924,6.591,-1.155,78
2011-02-01,8437170096,28563966112,4.445,-13.032,6.597,0.091,40
2011-03-01,9518843411,28857011445,12.82,1.026,6.571,-0.394,38
2011-04-01,7971015998,31009252870,-16.261,7.458,6.549,-0.335,43
2011-05-01,7817771089,34328068069,-1.923,10.703,6.491,-0.886,46
2011-06-01,7729751089,35963602769,-1.126,4.764,6.48,-0.169,44
2011-07-01,8170854919,36688917408,5.707,2.017,6.465,-0.231,46
2011-08-01,8408135137,39041486544,2.904,6.412,6.438,-0.418,60
2011-09-01,8367094477,38045503121,-0.488,-2.551,6.385,-0.823,68
2011-10-01,9736489010,39417354557,16.366,3.606,6.379,-0.094,86
2011-11-01,9936647718,38328544431,2.056,-2.762,6.356,-0.361,67
2011-12-01,9706556984,34214874764,-2.316,-10.733,6.371,0.236,50
2012-01-01,8371954459,35868350623,-13.749,4.833,6.294,-1.209,74
2012-02-01,8760742302,29317451788,4.644,-18.264,6.312,0.286,59
2012-03-01,9829743650,32840345205,12.202,12.016,6.3,-0.19,47
2012-04-01,8456512799,34526498784,-13.97,5.134,6.297,-0.048,68
2012-05-01,8898572261,36560925933,5.227,5.892,6.279,-0.286,66
2012-06-01,8518650548,37532057365,-4.269,2.656,6.372,1.481,53
2012-07-01,8554091834,39607148397,0.416,5.529,6.355,-0.267,72
2012-08-01,8609171778,38951337292,0.644,-1.656,6.371,0.252,57
2012-09-01,8790939642,39578324697,2.111,1.61,6.349,-0.345,62
2012-10-01,10823281596,42057345923,23.119,6.264,6.286,-0.992,77
2012-11-01,10594388987,41205610727,-2.115,-2.025,6.242,-0.7,64
2012-12-01,10382008551,36361753350,-2.005,-11.755,6.228,-0.224,41
2013-01-01,9384567818,38813154291,-9.607,6.742,6.238,0.161,50
2013-02-01,9302547799,34248330379,-0.874,-11.761,6.231,-0.112,42
2013-03-01,9435418523,28542140038,1.428,-16.661,6.227,-0.064,46
2013-04-01,8991933916,34658833114,-4.7,21.43,6.201,-0.418,38
2013-05-01,8786492216,38329554809,-2.285,10.591,6.167,-0.548,50
2013-06-01,9181479407,37454244338,4.495,-2.284,6.135,-0.519,68
2013-07-01,8735186383,40593165559,-4.861,8.381,6.136,0.016,51
2013-08-01,9280903275,40949980716,6.247,0.879,6.131,-0.081,30
2013-09-01,9595943827,41852560999,3.395,2.204,6.116,-0.245,51
2013-10-01,13059990328,43734515447,36.099,4.497,6.122,0.098,69
2013-11-01,13178882507,41752913268,0.91,-4.531,6.1,-0.359,54
2013-12-01,13082898728,39078244856,-0.728,-6.406,6.093,-0.115,59
2014-01-01,10356973209,39803216413,-20.836,1.855,6.052,-0.673,38
2014-02-01,9878873230,32054645039,-4.616,-19.467,6.06,0.132,40
2014-03-01,10830211961,32542489988,9.63,1.522,6.145,1.403,32
2014-04-01,9025327016,37835925847,-16.665,16.266,6.208,1.025,46
2014-05-01,9222111785,39635506905,2.18,4.756,6.26,0.838,64
2014-06-01,9352883844,41067501947,1.418,3.613,6.248,-0.192,38
2014-07-01,9288238352,41855349495,-0.691,1.918,6.203,-0.72,44
2014-08-01,9631204312,41543399475,3.692,-0.745,6.178,-0.403,47
2014-09-01,9327452087,46754645377,-3.154,12.544,6.142,-0.583,57
2014-10-01,12689711389,47146548558,36.047,0.838,6.138,-0.065,58
2014-11-01,12189511317,43777033405,-3.942,-7.147,6.115,-0.375,72
2014-12-01,12231406934,42179792328,0.344,-3.649,6.152,0.605,63
2015-01-01,9551998828,39803557658,-21.906,-5.634,6.202,0.813,45
2015-02-01,8699839856,32671572550,-8.921,-17.918,6.25,0.774,37
2015-03-01,9887217525,43001622306,13.648,31.618,6.265,0.24,49
2015-04-01,9316821313,37424866301,-5.769,-12.969,6.195,-1.117,62
2015-05-01,8758793486,41000814298,-5.989,9.555,6.213,0.291,62
2015-06-01,9687755563,42937788178,10.606,4.724,6.199,-0.225,78
2015-07-01,9500662680,42882348063,-1.931,-0.129,6.202,0.048,83
2015-08-01,9166684407,46010171335,-3.515,7.294,6.21,0.129,91
2015-09-01,9423663892,47594357713,2.803,3.443,6.364,2.48,59
2015-10-01,11384346365,46135507219,20.806,-3.065,6.356,-0.126,73
2015-11-01,10681010548,43598767358,-6.178,-5.498,6.318,-0.598,81
2015-12-01,10127407102,39571105451,-5.183,-9.238,6.4,1.298,81
2016-01-01,8208875002,38704371880,-18.944,-2.19,6.512,1.75,75
2016-02-01,8080515063,37652297459,-1.564,-2.718,6.577,0.998,50
2016-03-01,8925561211,31011345717,10.458,-17.638,6.551,-0.395,94
2016-04-01,8679668476,34342018520,-2.755,10.74,6.473,-1.191,46
2016-05-01,8541963035,39093843904,-1.587,13.837,6.474,0.015,75
2016-06-01,8845557796,40075066824,3.554,2.51,6.576,1.576,69
2016-07-01,9129663496,41005369922,3.212,2.321,6.654,1.186,69
2016-08-01,9372919258,44954721011,2.664,9.631,6.643,-0.165,38
2016-09-01,9521151936,43673331449,1.581,-2.85,6.674,0.467,71
2016-10-01,12600004710,45552397128,32.337,4.303,6.672,-0.03,70
2016-11-01,12044084823,44277267588,-4.412,-2.799,6.767,1.424,113
2016-12-01,11644805511,40968416596,-3.315,-7.473,6.887,1.773,97
2017-01-01,9961097157,43077554081,-14.459,5.148,6.945,0.842,116
2017-02-01,9735769625,34215849613,-2.262,-20.572,6.881,-0.922,92
2017-03-01,9719166951,35597579985,-0.171,4.038,6.881,0.0,98
2017-04-01,9805657653,39017298064,0.89,9.607,6.89,0.131,125
2017-05-01,9862177185,43547181780,0.576,11.61,6.896,0.087,82
2017-06-01,9717402236,44038322586,-1.468,1.128,6.806,-1.305,65
2017-07-01,9979055362,45372230871,2.693,3.029,6.779,-0.397,94
2017-08-01,10828336084,47679593980,8.511,5.085,6.718,-0.9,95
2017-09-01,10911666853,47289765803,0.77,-0.818,6.562,-2.322,105
2017-10-01,12963414465,50086689985,18.803,5.914,6.655,1.417,71
2017-11-01,12765021147,49929157385,-1.53,-0.315,6.609,-0.691,117
2017-12-01,13644750168,46171083837,6.892,-7.527,6.615,0.091,119
2018-01-01,9902562594,47590600120,-27.426,3.074,6.507,-1.633,106
2018-02-01,9759866555,40662733317,-1.441,-14.557,6.299,-3.197,79
2018-03-01,12652141220,39868857481,29.634,-1.952,6.358,0.937,203
2018-04-01,10503804047,39907645638,-16.98,0.097,6.274,-1.321,185
2018-05-01,10428173104,45971528757,-0.72,15.195,6.348,1.179,188
2018-06-01,10860060725,46592125286,4.142,1.35,6.42,1.134,214
2018-07-01,10134629152,49137910877,-6.68,5.464,6.616,3.053,183
2018-08-01,9285848581,49923125875,-8.375,1.598,6.819,3.068,146
2018-09-01,9729850046,52180248060,4.781,4.521,6.829,0.147,150
2018-10-01,9139825342,54578036799,-6.064,4.595,6.87,0.6,155
2018-11-01,8606232286,48615425280,-5.838,-10.925,6.923,0.771,166
2018-12-01,9144872071,48174882050,6.259,-0.906,6.954,0.448,217
